Name,Age,Nationality,Potential,Club,International Reputation,Weak Foot,Skill Moves,Body_Type,Attacking_Work_Rate,Defensive_Work_Rate,CB,CDM,CF,CM,GK,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RES,RF,RM,RS,RW,RWB,ST,SUB,BMI,Age_Group,Value_to_Potential
E. Delprato,22,67.14691943127963,78,65.94465084200351,1.0,3.0,2.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22.096807907073963,0,28205.128205128207
22 S. Cáceres,21,64.93636363636358,81,64.42390518011341,1.0,3.0,2.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.76543209876543,2,98765.43209876544
A. Sangwan,26,51.946337283508086,54,57.541622218625356,1.0,4.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.093170054286073,0,1851.851851851852
M. Sawadogo,18,61.72667040085065,73,61.39687589387868,1.0,2.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.53061224489796,2,3424.6575342465753
22 G. Xenitidis,21,66.01976736449477,71,67.78062931387855,1.0,2.0,2.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.20408163265306,2,7746.478873239436
22 M. Berte,19,63.676616911317716,70,63.72837745358288,1.0,3.0,2.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.224489795918366,2,5000.0
C. Vindehall,26,59.94615384628343,64,61.4237441319402,1.0,3.0,3.0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.981901752370007,0,7812.5
22 M. Gambos,23,66.7131350521478,68,61.747141313751285,1.0,3.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.6421929718633,0,9191.176470588236
A. Saldaña,20,60.60498220641852,73,62.84206292858501,1.0,4.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.052190183434128,2,6506.8493150684935
Lee Ji Han,19,55.45909092541449,69,59.583088565740695,1.0,3.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.604938271604937,2,5797.101449275362
J. Shcherbakovski,21,63.38939910722827,72,61.72377621219184,1.0,4.0,3.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.478266613819528,2,15277.777777777777
A. Dunne,19,57.3617886188073,63,59.48550260686167,1.0,3.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.661438615467823,2,3015.873015873016
22 W. Bogado,22,63.01687763726706,65,62.14579776966275,1.0,3.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.56663223140496,0,6538.461538461538
21 M. Draghi,27,66.84351713859911,63,62.52052415613021,1.0,2.0,1.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.714681440443215,0,3809.5238095238096
21 K. Gildale,28,61.01479046836483,52,58.911282116402006,1.0,2.0,1.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.20054323223178,0,1153.8461538461538
21 Rafinha,28,70.6844547563805,62,62.281785734539824,1.0,4.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.469150482230148,0,6451.612903225807
21 G. Kapela,17,66.25481481481482,68,62.165599010328606,1.0,2.0,2.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.24933720489837,2,4411.764705882353
A. Yahya,21,54.937501417135586,74,64.25509989968528,1.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.519134092541297,2,10810.81081081081
22 A. Gomis,28,66.25481481481482,65,62.25742486447318,1.0,3.0,2.0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.251278305332356,0,9615.384615384615
L. Clarkson,20,61.01479046836483,78,60.51436170212766,1.0,2.0,2.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.551020408163264,2,15384.615384615385
21 W. Castillo,22,62.066326560430504,64,62.15345666636857,1.0,2.0,2.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.773842357381334,0,5078.125
15 D. Forlán,35,64.93636363636358,78,69.1328409415945,3.0,5.0,3.0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.074074074074073,1,0.0
22 Z. Bakaev,25,65.6407826390537,77,64.5789179395496,1.0,2.0,3.0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.76543209876543,0,71428.57142857143
21 L. Jamieson,18,61.40113024391227,73,61.49190113849603,1.0,3.0,2.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.508945765204302,2,4452.054794520548
21 Jandro,20,67.33545108005083,72,62.83868906362343,1.0,3.0,3.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.22280827689523,2,8333.333333333334
Pozo,26,67.33545108005083,76,67.70398868061322,1.0,4.0,3.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.91303307000445,0,52631.57894736842
21 H. Matamoros,35,63.19097222222265,63,63.05955427148412,1.0,3.0,3.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.49134948096886,1,3174.6031746031745
22 A. Ocanto,32,62.46376811594901,71,62.960367705998706,1.0,4.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.151672503320853,1,21126.76056338028
I. Arslan,21,62.149019607919676,68,68.39654024267571,1.0,2.0,2.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.967857555786793,2,4779.411764705882
R. Poole,24,60.63930181032972,71,60.51744710157661,1.0,3.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.85727788279773,0,15492.957746478873
A. Vigo,23,66.84351713859911,76,64.99666836409544,1.0,3.0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24.163265306122447,0,31578.947368421053
22 A. Rojas,25,63.24892703869952,66,63.06828836758784,1.0,4.0,3.0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.18339100346021,0,9469.69696969697
A. Alvarado,18,60.60498220641852,76,63.965651876599665,1.0,2.0,3.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.386314277122523,2,14473.684210526315
W. Quiñónez,33,63.01687763726706,67,61.88828029322363,1.0,3.0,1.0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.59321112985787,1,4850.746268656716
J. Brinkies,29,63.3562945368171,70,62.95392540056959,1.0,5.0,1.0,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.615210502489816,0,14285.714285714286
L. Négo,31,65.63612246808137,72,69.1328409415945,1.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.672110130948383,1,0.0
21 Rúben Freitas,27,68.82156133820642,67,63.603564124185716,1.0,4.0,2.0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.456790123456788,0,14552.23880597015
J. Greguš,31,66.7131350521478,71,62.98020271851277,1.0,4.0,3.0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.11584222166233,1,18309.859154929578
21 F. Hinds,21,61.01479046836483,68,64.10856700861254,1.0,3.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23.243801652892564,2,6617.64705882353
21 Miguel Fernández,19,67.33545108005083,64,63.56078076434753,1.0,3.0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23.183673469387756,2,4296.875
22 F. Terry,17,61.01479046836483,74,60.49870360229393,1.0,2.0,2.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.798202394816204,2,3716.2162162162163
N. Tauer,21,63.3562945368171,78,67.48197533562711,1.0,3.0,2.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.096807907073963,2,32051.28205128205
Marcão,26,70.6844547563805,83,70.8116824477389,1.0,3.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.66691015339664,0,259036.14457831325
21 L. Ribeiro,19,64.93636363636358,69,62.94937070964639,1.0,3.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.145328719723185,2,3478.2608695652175
22 D. Sawhney,19,51.946337283508086,64,58.41098895007286,1.0,3.0,2.0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.847008520333322,2,1875.0
22 Oh Se Hun,22,55.45909092541449,75,61.0931527277865,1.0,4.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.819404547773097,0,30666.666666666668
B. Fink,19,61.72667040085065,80,61.82988445945021,1.0,5.0,3.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.12214577451276,2,12500.0
21 F. Cáseres,19,66.84351713859911,72,64.53534861016449,1.0,3.0,2.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.830703194041156,2,6597.222222222223
22 E. Dixon-Bonner,20,61.01479046836483,73,71.59424325948119,1.0,2.0,2.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23.148148148148145,2,6506.8493150684935
21 A. Jones,18,61.01479046836483,69,60.383055947511785,1.0,2.0,2.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23.661438615467823,2,1739.1304347826087
Unai Rementería,22,67.33545108005083,72,62.328790842877254,1.0,3.0,2.0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.151672503320853,0,15277.777777777777
B. Davies,29,60.63930181032972,79,71.5893768372948,2.0,3.0,3.0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.198315069747565,0,183544.30379746837
21 B. Bafford,19,58.53216508417798,68,58.8604632886633,1.0,3.0,2.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.971335857220122,2,5147.058823529412
D. Sokół,23,59.81679389323986,68,62.35481168972758,1.0,3.0,2.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.16070124178232,0,7352.941176470588
20 D. Zator,24,61.87839117618941,64,69.1328409415945,1.0,2.0,2.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23.20054323223178,0,0.0
J. Milne,19,61.40113024391227,70,60.51436170212766,1.0,2.0,2.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.97265625,2,3928.5714285714284
O. Vargas,16,60.60498220641852,81,63.462264318202145,1.0,3.0,3.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.20408163265306,2,18518.51851851852
S. Banza,25,66.25481481481482,78,67.3178546771477,1.0,2.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.55594748187341,0,96153.84615384616
D. Mikić,29,63.3562945368171,64,61.52005748441809,1.0,3.0,2.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.148148148148145,0,7812.5
22 G. Masouras,24,66.01976736449477,71,62.35792144260551,1.0,2.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.503556057507403,0,19718.309859154928
R. Lewandowski,33,59.81679389323986,91,75.3102442472674,5.0,4.0,4.0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23.66691015339664,1,923076.9230769231
Y. Rahmani,27,66.25481481481482,70,63.002954885281625,1.0,3.0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.783308885490467,0,24285.714285714286
21 P. Seagrist,22,60.60498220641852,65,62.27890020453455,1.0,3.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.99262444384723,0,5384.615384615385
G. Pepsi,23,63.77169156211979,68,62.5072109955355,1.0,2.0,2.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.839506172839506,0,8455.882352941177
R. Ríos,26,66.84351713859911,65,62.44390168987951,1.0,3.0,3.0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.460034350640772,0,10384.615384615385
21 B. Hughes,21,61.01479046836483,66,62.84467406734889,1.0,4.0,2.0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.408786769347305,2,4166.666666666667
22 Laguardia,31,67.33545108005083,78,65.10893590347371,1.0,3.0,2.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.37472607742878,1,121794.8717948718
21 S. Nishikawa,19,62.05960264900737,64,61.49607756295839,1.0,2.0,2.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.120623596247853,2,2812.5
E. Viegbe,18,66.25481481481482,70,61.972635966574856,1.0,3.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.515086478979924,2,3285.714285714286
Wu Junjie,19,52.237735849311704,58,59.4603332289418,1.0,3.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23.48347668628339,2,1896.551724137931
Rafael Fernandes,20,68.82156133820642,72,64.1547718147134,1.0,3.0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.47745401715962,2,9375.0
B. Mogultay,18,63.3562945368171,69,61.87659350924993,1.0,4.0,2.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.36686914318855,2,3478.2608695652175
S. Chukwueze,23,68.00821291965507,85,69.9357158211788,1.0,2.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.661438615467823,0,323529.4117647059
I. Ganago,23,66.72209730430991,75,66.66943202027905,1.0,3.0,3.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.592209980961893,0,53333.333333333336
D. Cirkin,20,61.01479046836483,78,62.605963455922776,1.0,3.0,2.0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.736505252988767,2,16666.666666666668
22 S. Oganesyan,19,65.6407826390537,72,64.5789179395496,1.0,2.0,2.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.902385858042937,2,13888.888888888889
21 S. Maldonado,20,63.01687763726706,61,60.58936170212766,1.0,3.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.985397512168742,2,3278.688524590164
C. Buschman-Dormond,19,61.87839117618941,74,62.77526064634995,1.0,3.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23.20054323223178,2,7094.594594594595
22 Pablo Tomeo,21,67.33545108005083,72,63.620352580637125,1.0,3.0,2.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.811654526534856,2,7986.111111111111
I. Kanu,22,63.26873537152916,70,60.383055947511785,1.0,3.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.6421929718633,0,12142.857142857143
F. Ortellado,21,66.84351713859911,76,64.57984599915395,1.0,3.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23.48347668628339,2,18421.052631578947
21 J. Vadstrup,16,62.14942553942687,67,60.84005008937636,1.0,2.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.489795918367346,2,1641.7910447761194
22 S. Giovinco,34,67.14691943127963,76,67.04899059600538,2.0,3.0,4.0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.95908765854944,1,46052.63157894737
J. Marabel,24,63.01687763726706,72,64.30485690095068,1.0,2.0,3.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.661152034778407,0,19444.444444444445
M. Curto,23,67.14691943127963,71,63.61039459311466,1.0,2.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.929223431375238,0,11619.718309859154
22 A. Hamashita,25,62.05960264900737,63,62.744600286221306,1.0,3.0,2.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.679952409280194,0,8333.333333333334
21 A. Contreras,19,62.46376811594901,75,61.985702964295804,1.0,3.0,2.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.428357113217785,2,20000.0
Z. Silini,18,68.67776495164934,71,61.42083149922948,1.0,3.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.92485822306238,2,3873.239436619718
Alex Telles,29,70.6844547563805,80,70.8116824477389,3.0,2.0,3.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.672110130948383,0,231250.0
P. Otele,23,68.00821291965507,70,60.931852969281536,1.0,3.0,2.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.37472607742878,0,15714.285714285714
