Name,Age,Nationality,Potential,Club,Value,Wage,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Loaned From,Height,Weight,Release Clause
21 P. Seagrist,22,United States,65,Inter Miami CF,350000.0,1000.0,1.0,3.0,2.0,High/ High,Normal,SUB,Permanent,183,77,595000.0
G. Pepsi,23,Kosovo,68,FC Winterthur,575000.0,1000.0,1.0,2.0,2.0,Medium/ High,Normal,SUB,Permanent,180,74,949000.0
R. Ríos,26,Argentina,65,Club Nacional,675000.0,500.0,1.0,3.0,3.0,Medium/ Medium,Normal,LCM,Permanent,174,68,1500000.0
21 B. Hughes,21,England,66,Sheffield Wednesday,275000.0,2000.0,1.0,4.0,2.0,High/ Medium,Normal,RES,Permanent,178,71,578000.0
22 Laguardia,31,Spain,78,Deportivo Alavés,9500000.0,25000.0,1.0,3.0,2.0,Medium/ High,Normal,RCB,Permanent,185,80,20000000.0
21 S. Nishikawa,19,Japan,64,Melbourne Victory,180000.0,750.0,1.0,2.0,2.0,High/ Medium,Lean,SUB,Permanent,174,70,261000.0
E. Viegbe,18,France,70,Valenciennes FC,230000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,178,65,546000.0
Wu Junjie,19,China PR,58,Guangzhou City,110000.0,750.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,188,83,193000.0
Rafael Fernandes,20,Portugal,72,FC Arouca,675000.0,950.0,1.0,3.0,2.0,Low/ High,Normal,RES,Permanent,191,82,1500000.0
B. Mogultay,18,Germany,69,MSV Duisburg,240000.0,500.0,1.0,4.0,2.0,Medium/ Medium,Lean,SUB,Permanent,181,70,498000.0
S. Chukwueze,23,Nigeria,85,Villarreal CF,27500000.0,32000.0,1.0,2.0,4.0,High/ Low,Normal,SUB,Permanent,172,70,63300000.0
I. Ganago,23,Cameroon,75,Racing Club de Lens,4000000.0,24000.0,1.0,3.0,3.0,High/ Medium,Stocky,SUB,Permanent,179,82,7900000.0
D. Cirkin,20,England,78,Sunderland,1300000.0,3000.0,1.0,3.0,2.0,High/ Medium,Lean,LCB,Permanent,182,72,3200000.0
22 S. Oganesyan,19,Russia,72,Spartak Moskva,1000000.0,7000.0,1.0,2.0,2.0,Medium/ Low,Lean,SUB,Permanent,183,70,1800000.0
21 S. Maldonado,20,Paraguay,61,Club Sportivo Luqueño,200000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,172,68,470000.0
C. Buschman-Dormond,19,Canada,74,FC Zürich,525000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,188,82,1100000.0
22 Pablo Tomeo,21,Spain,72,SD Huesca,575000.0,1000.0,1.0,3.0,2.0,Medium/ High,Lean,RES,Permanent,186,72,1000000.0
I. Kanu,22,Sierra Leone,70,Peterborough United,850000.0,2000.0,1.0,3.0,2.0,High/ High,Normal,SUB,Permanent,182,75,1700000.0
F. Ortellado,21,Argentina,76,Club Atlético Lanús,1400000.0,3000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,188,83,2400000.0
21 J. Vadstrup,16,Denmark,67,Lyngby BK,110000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Normal,SUB,Permanent,175,75,206000.0
22 S. Giovinco,34,Italy,76,U.C. Sampdoria,3500000.0,20000.0,2.0,3.0,4.0,High/ Medium,Normal,SUB,Permanent,163,61,6000000.0
J. Marabel,24,Paraguay,72,Unión de Santa Fe,1400000.0,4000.0,1.0,2.0,3.0,Medium/ Medium,Normal,SUB,Permanent,182,85,2400000.0
M. Curto,23,Italy,71,Südtirol,825000.0,600.0,1.0,2.0,2.0,Medium/ Medium,Normal,SUB,Permanent,191,80,1400000.0
22 A. Hamashita,25,Japan,63,Tokushima Vortis,525000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RM,Permanent,164,61,656000.0
21 A. Contreras,19,Venezuela,75,Caracas Fútbol Club,1500000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Lean,CAM,Permanent,177,64,3500000.0
Z. Silini,18,Algeria,71,Seraing,275000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,184,81,571000.0
Alex Telles,29,Brazil,80,Sevilla FC,18500000.0,110000.0,3.0,2.0,3.0,High/ Low,Unique,SUB,"<a href=""/team/11/manchester-united/"">Manchester United</a>",181,71,0.0
P. Otele,23,Nigeria,70,AFC UTA Arad,1100000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Lean,LM,Permanent,185,80,1600000.0
M. Balotelli,31,Italy,77,Adana Demirspor,9000000.0,25000.0,4.0,4.0,4.0,Medium/ Low,Normal,ST,Permanent,190,94,18000000.0
P. Bamford,28,England,78,Leeds United,14500000.0,48000.0,2.0,3.0,3.0,High/ High,Lean,ST,Permanent,185,71,27600000.0
Raúl Asencio,24,Spain,68,Cittadella,725000.0,750.0,1.0,3.0,2.0,High/ Medium,Lean,RES,Permanent,187,78,1200000.0
M. Fall,20,Senegal,77,Los Angeles FC,2500000.0,2000.0,1.0,2.0,2.0,Low/ Medium,Normal,SUB,Permanent,188,74,4300000.0
P. Lagemyr,25,Sweden,69,IK Sirius,1100000.0,2000.0,1.0,3.0,3.0,Medium/ Low,Lean,SUB,Permanent,167,58,1500000.0
F. Giraudo,23,Italy,59,Urbs Reggina 1914 ,140000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,182,85,245000.0
22 K. Nagato,26,Japan,70,Yokohama F. Marinos,1500000.0,6000.0,1.0,3.0,3.0,High/ Medium,Normal,LB,Permanent,173,73,2100000.0
L. Alario,29,Argentina,78,Eintracht Frankfurt,14000000.0,35000.0,2.0,3.0,3.0,High/ Medium,Normal,ST,Permanent,185,78,23800000.0
B. Zeneli,19,Sweden,71,IF Elfsborg,325000.0,600.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,178,71,609000.0
22 Paco Puertas,25,Spain,66,Burgos CF,425000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,"<a href=""/team/110065/cf-fuenlabrada/"">CF Fuenlabrada</a>",184,74,0.0
21 B. Abundis,20,Mexico,69,Club Atlético de San Luis,450000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RS,Permanent,170,62,855000.0
Fran Delgado,20,Spain,71,Real Betis Balompié,525000.0,2000.0,1.0,3.0,2.0,High/ Medium,Normal,RES,Permanent,177,62,1200000.0
Melendo,24,Spain,82,Granada CF,20000000.0,12000.0,1.0,2.0,4.0,High/ Medium,Lean,SUB,Permanent,167,63,33500000.0
21 B. Carroll,18,England,68,Everton,325000.0,4000.0,1.0,2.0,2.0,Medium/ Medium,Lean,RES,Permanent,176,62,683000.0
22 Lee Ji Woo,18,Korea Republic,64,Gangwon FC,100000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Normal,RES,Permanent,175,68,188000.0
20 E. Allen,17,England,69,Oldham Athletic,60000.0,500.0,1.0,3.0,1.0,Medium/ Medium,Lean,RES,Permanent,191,70,143000.0
H. Macadam,21,England,62,Fleetwood Town,250000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,191,84,456000.0
22 M. Olawale,22,Côte d'Ivoire,68,FC Voluntari,500000.0,1000.0,1.0,3.0,2.0,Medium/ Low,Normal,SUB,Permanent,187,82,775000.0
D. Boyata,31,Belgium,76,Hertha BSC,5000000.0,27000.0,2.0,3.0,2.0,Medium/ High,Normal,RCB,Permanent,188,84,8500000.0
21 M. Sotillo,35,Peru,70,Deportivo Binacional,180000.0,500.0,1.0,2.0,1.0,Medium/ Medium,Normal,SUB,Permanent,182,78,387000.0
W. Goodwin,20,England,70,Stoke City,500000.0,4000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,193,90,1100000.0
21 V. Mihai,24,Romania,62,FC Voluntari,250000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,172,65,356000.0
22 R. Galindo,23,Mexico,69,Club Universidad Nacional,750000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,179,73,1400000.0
V. Bichakhchyan,22,Armenia,72,Pogoń Szczecin,1600000.0,3000.0,1.0,3.0,3.0,Medium/ Medium,Normal,SUB,Permanent,172,68,2300000.0
K. Olaigbe,19,Belgium,67,Ross County FC,300000.0,4000.0,1.0,2.0,3.0,High/ Medium,Lean,SUB,"<a href=""/team/17/southampton/"">Southampton</a>",178,71,0.0
J. Skau,19,Norway,70,Odds BK,230000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,183,77,431000.0
M. Yiğit,21,Turkey,65,MKE Ankaragücü,325000.0,2000.0,1.0,3.0,2.0,High/ Low,Lean,RES,Permanent,179,71,699000.0
22 J. Liburd,19,Denmark,65,SønderjyskE,220000.0,1000.0,1.0,3.0,3.0,Medium/ Medium,Lean,RES,Permanent,181,72,319000.0
A. Hopmark,30,Norway,66,Kristiansund BK,700000.0,1000.0,1.0,3.0,2.0,Low/ High,Normal,LCB,Permanent,192,88,875000.0
22 D. Murray,18,Scotland,76,Celtic,475000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,193,77,1200000.0
J. Gómez,20,Venezuela,71,Estudiantes de Mérida,1200000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,168,70,2800000.0
22 Z. Gilsenan,18,Republic of Ireland,77,Blackburn Rovers,525000.0,2000.0,1.0,4.0,4.0,Medium/ Medium,Lean,RES,Permanent,175,60,1300000.0
G. Singh,22,India,64,Hyderabad FC,210000.0,500.0,1.0,3.0,1.0,Medium/ Medium,Normal,SUB,Permanent,183,80,326000.0
22 D. Banach,17,Poland,71,Radomiak Radom,275000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Lean,SUB,Permanent,175,64,543000.0
J. Espinoza,23,Ecuador,72,Chicago Fire Football Club,1300000.0,2000.0,1.0,2.0,2.0,High/ Medium,Normal,SUB,Permanent,175,70,2100000.0
Ethyan,20,Spain,77,CD Tenerife,1400000.0,2000.0,1.0,3.0,3.0,Medium/ Low,Normal,SUB,Permanent,185,75,3100000.0
J. Ferreira,21,United States,84,FC Dallas,9500000.0,7000.0,1.0,4.0,2.0,High/ Medium,Lean,ST,Permanent,173,64,16200000.0
D. Petrovič,24,Slovenia,73,SK Rapid Wien,1700000.0,9000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,179,75,2700000.0
22 A. Acevedo,19,Uruguay,70,Club Atlético Rentistas,475000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Lean,RB,Permanent,184,73,1100000.0
Zhang Chao'ao,21,China PR,56,Zhejiang Professional FC,90000.0,1000.0,1.0,2.0,2.0,Medium/ Medium,Normal,RES,Permanent,182,70,158000.0
S. Berghuis,30,Netherlands,82,Ajax,29500000.0,25000.0,3.0,3.0,4.0,High/ Medium,Lean,CAM,Permanent,182,75,41300000.0
M. Adeline,18,France,79,Stade de Reims,1700000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,180,63,4500000.0
I. Bennacer,24,Algeria,86,AC Milan,40000000.0,63000.0,2.0,3.0,4.0,High/ Medium,Lean,LCM,Permanent,175,70,71000000.0
22 A. Garcia MacNulty,18,Republic of Ireland,81,VfL Wolfsburg,1100000.0,3000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,187,78,2600000.0
22 T. Mase,23,Japan,67,Vegalta Sendai,475000.0,850.0,1.0,3.0,2.0,High/ Medium,Normal,RB,Permanent,175,70,689000.0
A. Bella Kotchap,20,Germany,83,Southampton,6000000.0,26000.0,1.0,5.0,2.0,Medium/ Medium,Stocky,RCB,Permanent,190,87,12600000.0
Campaña,29,Spain,78,Levante Unión Deportiva,13500000.0,16000.0,1.0,3.0,4.0,Medium/ Medium,Lean,SUB,Permanent,179,70,21600000.0
21 A. Valencia,34,Ecuador,78,Gallos Blancos de Querétaro,5000000.0,13000.0,2.0,2.0,3.0,Medium/ Medium,Stocky,RB,Permanent,180,88,8300000.000000001
O. Faraj,20,Sweden,72,Degerfors IF,725000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,"<a href=""/team/1853/levante-union-deportiva/"">Levante Unión Deportiva</a>",183,77,0.0
E. Uribe,36,Peru,65,Sport Boys,140000.0,500.0,1.0,3.0,2.0,Medium/ High,Normal,SUB,Permanent,179,71,301000.0
22 Y. El Arabi,34,Morocco,78,Olympiacos CFP,7000000.0,2000.0,2.0,4.0,3.0,High/ Medium,Normal,SUB,Permanent,182,84,14700000.0
L. Barreiro Martins,22,Luxembourg,79,1. FSV Mainz 05,4900000.0,19000.0,1.0,3.0,3.0,Medium/ High,Lean,SUB,Permanent,174,68,9300000.0
S. Müller,21,Germany,74,Hallescher FC,1100000.0,3000.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,"<a href=""/team/159/dsc-arminia-bielefeld/"">DSC Arminia Bielefeld</a>",180,78,0.0
Fabiano Sonta,30,Brazil,72,Fluminense,1900000.0,15000.0,1.0,3.0,2.0,Medium/ Medium,Stocky,RDM,Permanent,181,82,3600000.0
P. Kioso,22,Republic of Ireland,73,Rotherham United,1600000.0,4000.0,1.0,3.0,2.0,High/ Medium,Lean,SUB,Permanent,183,73,3300000.0
22 M. Molina,28,Argentina,59,Club Atlético Sarmiento,200000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,180,76,290000.0
F. Orlando,25,Italy,69,US Salernitana 1919,1300000.0,9000.0,1.0,3.0,3.0,High/ Medium,Normal,SUB,Permanent,168,65,2400000.0
22 Tomás Castro,22,Portugal,71,Belenenses SAD,900000.0,1000.0,1.0,3.0,3.0,High/ Medium,Lean,RES,Permanent,181,74,2000000.0
21 B. Ünsal,23,Turkey,63,BB Erzurumspor,240000.0,1000.0,1.0,2.0,1.0,Medium/ Medium,Stocky,RES,Permanent,185,76,516000.0
22 J. Buchta,20,Austria,67,FC Flyeralarm Admira,425000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,182,71,701000.0
